INFO:root:Ran with args: ('John', 25) and kwargs: {}
INFO:root:Ran with args: ('Hank', 27) and kwargs: {}
INFO:root:Ran with args: ('Hank', 27) and kwargs: {}
INFO:root:Ran with args: ('Hank', 27) and kwargs: {}
INFO:root:Ran with args: ('Hank', 27) and kwargs: {}
INFO:root:Ran with args: ('Hank', 27) and kwargs: {}
INFO:root:Ran with args: ('Hank', 27) and kwargs: {}
INFO:root:Ran with args: ('Hank', 27) and kwargs: {}
INFO:root:Ran with args: ('Hank', 27) and kwargs: {}
INFO:root:Ran with args: ('Hank', 27) and kwargs: {}
INFO:root:Ran with args: ('Hank', 27) and kwargs: {}
INFO:root:Ran with args: ('Hank', 27) and kwargs: {}
INFO:root:Ran with args: ('Hank', 27) and kwargs: {}
INFO:root:Ran with args: ('Hank', 27) and kwargs: {}
INFO:root:Ran with args: ('Hank', 27) and kwargs: {}
INFO:root:Ran with args: ('Hank', 27) and kwargs: {}
INFO:root:Ran with args: ('Hank', 27) and kwargs: {}
INFO:root:Ran with args: ('Tom', 46) and kwargs: {}
